region,type,os,price
eu-west-1,m4.2xlarge,rhel,0.658
eu-west-1,m4.4xlarge,rhel,1.186
eu-west-1,m4.10xlarge,rhel,2.771
eu-west-1,m3.medium,rhel,0.133
eu-west-1,m3.large,rhel,0.206
eu-west-1,m3.xlarge,rhel,0.353
eu-west-1,m3.2xlarge,rhel,0.715
eu-west-1,c4.large,rhel,0.179
eu-west-1,c4.xlarge,rhel,0.298
eu-west-1,c4.2xlarge,rhel,0.607
eu-west-1,c4.4xlarge,rhel,1.083
eu-west-1,c4.8xlarge,rhel,2.036
eu-west-1,c3.large,rhel,0.18
eu-west-1,c3.xlarge,rhel,0.299
eu-west-1,c3.2xlarge,rhel,0.608
eu-west-1,c3.4xlarge,rhel,1.086
eu-west-1,c3.8xlarge,rhel,2.042
eu-west-1,g2.2xlarge,rhel,0.832
eu-west-1,g2.8xlarge,rhel,2.938
eu-west-1,r3.large,rhel,0.245
eu-west-1,r3.xlarge,rhel,0.431
eu-west-1,r3.2xlarge,rhel,0.871
eu-west-1,r3.4xlarge,rhel,1.612
eu-west-1,r3.8xlarge,rhel,3.094
eu-west-1,i2.xlarge,rhel,0.998
eu-west-1,i2.2xlarge,rhel,2.006
eu-west-1,i2.4xlarge,rhel,3.881
eu-west-1,i2.8xlarge,rhel,7.632
eu-west-1,d2.xlarge,rhel,0.795
eu-west-1,d2.2xlarge,rhel,1.6
eu-west-1,d2.4xlarge,rhel,3.07
eu-west-1,d2.8xlarge,rhel,6.01
eu-central-1,t2.micro,rhel,0.075
eu-central-1,t2.small,rhel,0.09
eu-central-1,t2.medium,rhel,0.12
eu-central-1,t2.large,rhel,0.18
eu-central-1,m4.large,rhel,0.203
eu-central-1,m4.xlarge,rhel,0.345
eu-central-1,m4.2xlarge,rhel,0.7
eu-central-1,m4.4xlarge,rhel,1.27
eu-central-1,m4.10xlarge,rhel,2.98
eu-central-1,m3.medium,rhel,0.139
eu-central-1,m3.large,rhel,0.218
eu-central-1,m3.xlarge,rhel,0.375
eu-central-1,m3.2xlarge,rhel,0.762
eu-central-1,c4.large,rhel,0.194
eu-central-1,c4.xlarge,rhel,0.327
eu-central-1,c4.2xlarge,rhel,0.664
eu-central-1,c4.4xlarge,rhel,1.199
